Date,Open,High,Low,Close,Adj Close,Volume
2023-06-08,0.034418,0.037628,0.032548,0.034019,0.034019,563387
2023-06-09,0.034019,0.034315,0.031771,0.032235,0.032235,565596
2023-06-10,0.032231,0.034678,0.027947,0.029321,0.029321,702126
2023-06-11,0.029322,0.031328,0.027557,0.028912,0.028912,698596
2023-06-12,0.028921,0.029918,0.027461,0.028497,0.028497,695804
2023-06-13,0.028497,0.030362,0.025310,0.025427,0.025427,700038
2023-06-14,0.025427,0.030606,0.025427,0.029045,0.029045,535843
2023-06-15,0.029048,0.030640,0.025725,0.030640,0.030640,709188
2023-06-16,0.030641,0.036380,0.030554,0.036380,0.036380,752968
2023-06-17,0.036377,0.042328,0.036363,0.040571,0.040571,795845
2023-06-18,0.040566,0.041745,0.035005,0.035005,0.035005,608435
2023-06-19,0.035005,0.036092,0.033657,0.034585,0.034585,710616
2023-06-20,0.034610,0.038708,0.034593,0.038361,0.038361,636517
2023-06-21,0.038360,0.039223,0.035753,0.038286,0.038286,680621
2023-06-22,0.038272,0.039405,0.036088,0.037050,0.037050,672174
2023-06-23,0.037055,0.037202,0.032431,0.033679,0.033679,609578
2023-06-24,0.033689,0.037835,0.033401,0.037832,0.037832,682247
2023-06-25,0.037826,0.043881,0.037745,0.039044,0.039044,798340
2023-06-26,0.039043,0.039710,0.036301,0.037214,0.037214,659775
2023-06-27,0.037219,0.040933,0.036555,0.036605,0.036605,618290
2023-06-28,0.036608,0.037261,0.035141,0.035141,0.035141,653138
2023-06-29,0.035141,0.035499,0.031971,0.031980,0.031980,588488
2023-06-30,0.031968,0.033210,0.031491,0.032886,0.032886,667334
2023-07-01,0.032890,0.033368,0.031966,0.032905,0.032905,706218
2023-07-02,0.032904,0.033562,0.032156,0.032381,0.032381,590352
2023-07-03,0.032384,0.032759,0.031822,0.031991,0.031991,584755
2023-07-04,0.031989,0.032137,0.029728,0.029735,0.029735,581481
2023-07-05,0.029735,0.031359,0.027380,0.029798,0.029798,743764
2023-07-06,0.029799,0.046821,0.029637,0.036212,0.036212,938727
2023-07-07,0.036209,0.036209,0.034762,0.035671,0.035671,643467
2023-07-08,0.035639,0.036306,0.034596,0.035179,0.035179,610813
2023-07-09,0.035179,0.035691,0.034028,0.035132,0.035132,734573
2023-07-10,0.035133,0.035202,0.033207,0.033744,0.033744,555636
2023-07-11,0.033744,0.038946,0.032365,0.036712,0.036712,918685
2023-07-12,0.036710,0.037150,0.036067,0.036551,0.036551,751316
2023-07-13,0.036550,0.040242,0.034934,0.039614,0.039614,760094
2023-07-14,0.039629,0.056442,0.039629,0.042699,0.042699,856744
2023-07-15,0.042729,0.042890,0.038216,0.041551,0.041551,621246
2023-07-16,0.041554,0.041692,0.038513,0.038555,0.038555,672195
2023-07-17,0.038539,0.038571,0.034445,0.036639,0.036639,677065
2023-07-18,0.036629,0.044623,0.036608,0.040354,0.040354,661432
2023-07-19,0.040344,0.040933,0.039486,0.040110,0.040110,569451
2023-07-20,0.040114,0.040634,0.037561,0.038109,0.038109,661040
2023-07-21,0.038106,0.041532,0.038061,0.039471,0.039471,696056
